StockCode,SpecCode,PopQB,Winf,K,t0,Mortality,Genus,Species,sciname
4688,4490,12,11,0.25999999046325684,-0.8500000238418579,0.9200000166893005,Myctophum,nitidulum,Myctophum_nitidulum
4689,4491,26.899999618530273,13,0.2370000034570694,-0.9399999976158142,0.8399999737739563,Dasyscopelus,spinosus,Dasyscopelus_spinosus
4692,4494,5.579999923706055,808,0.9769999980926514,-0.14300000667572021,1.6100000143051147,Cirrhinus,cirrhosus,Cirrhinus_cirrhosus
4696,4498,4.309999942779541,1006,0.38999998569488525,-0.3700000047683716,0.8199999928474426,Lates,stappersii,Lates_stappersii
4697,4499,2.3359999656677246,7400,0.3840000033378601,0.11999999731779099,0.3499999940395355,Sparidentex,hasta,Sparidentex_hasta
5012,4522,33.900001525878906,2,0.7599999904632568,-0.33000001311302185,2.130000114440918,Hygophum,proximum,Hygophum_proximum
5013,4520,24.299999237060547,1,0.5400000214576721,-0.44999998807907104,1.6100000143051147,Hygophum,reinhardtii,Hygophum_reinhardtii
5826,4518,15.899999618530273,60,0.1899999976158142,-1,0.5,Mirogrex,terraesanctae,Mirogrex_terraesanctae
6146,4517,17.5,16,1.2999999523162842,-0.15000000596046448,2.9000000953674316,Haplochromis,nigripinnis,Haplochromis_nigripinnis
6840,6519,22.100000381469727,6650,0.17000000178813934,-0.7300000190734863,0.4000000059604645,Bagrus,docmak,Bagrus_docmak
8484,69,2.5799999237060547,12356,0.1599999964237213,-0.7799999713897705,0.23000000417232513,Gadus,morhua,Gadus_morhua
